iter	Passed	Remaining
0	138	138550
1	140	70175
2	141	47154
3	142	35602
4	144	28664
5	145	24045
6	146	20780
7	147	18291
8	148	16355
9	152	15097
10	153	13833
11	155	12775
12	156	11866
13	158	11149
14	159	10474
15	160	9893
16	162	9380
17	163	8901
18	165	8536
19	166	8170
20	168	7844
21	169	7525
22	170	7245
23	172	6994
24	172	6744
25	173	6510
26	174	6295
27	175	6100
28	176	5921
29	177	5754
30	180	5655
31	181	5502
32	182	5361
33	183	5226
34	184	5099
35	185	4979
36	186	4864
37	188	4763
38	189	4661
39	190	4565
40	191	4470
41	192	4390
42	194	4337
43	196	4272
44	198	4203
45	199	4135
46	200	4061
47	201	3992
48	202	3927
49	203	3870
50	205	3827
51	206	3767
52	208	3717
53	209	3671
54	210	3620
55	212	3574
56	214	3542
57	215	3497
58	216	3454
59	217	3409
60	218	3366
61	219	3324
62	220	3283
63	223	3264
64	224	3229
65	225	3194
66	226	3157
67	228	3126
68	229	3090
69	230	3065
70	232	3036
71	233	3006
72	234	2975
73	235	2945
74	237	2932
75	239	2907
76	240	2879
77	241	2852
78	242	2824
79	243	2799
80	245	2779
81	246	2757
82	246	2727
83	247	2701
84	248	2679
85	249	2655
86	250	2631
87	253	2623
88	254	2604
89	256	2590
90	257	2576
91	259	2558
92	260	2537
93	261	2517
94	262	2498
95	263	2478
96	264	2458
97	265	2439
98	266	2424
99	268	2415
100	269	2401
101	270	2384
102	271	2368
103	272	2351
104	274	2335
105	275	2319
106	275	2303
107	277	2288
108	278	2277
109	279	2262
110	280	2247
111	283	2245
112	284	2231
113	285	2217
114	288	2218
115	289	2204
116	290	2190
117	291	2176
118	292	2162
119	293	2149
120	294	2138
121	295	2125
122	297	2120
123	298	2109
124	299	2096
125	300	2084
126	301	2071
127	302	2060
128	303	2049
129	304	2037
130	305	2026
131	306	2015
132	307	2004
133	308	1992
134	309	1982
135	310	1970
136	312	1968
137	313	1958
138	314	1949
139	315	1939
140	316	1929
141	317	1918
142	318	1908
143	319	1898
144	320	1890
145	321	1881
146	322	1872
147	323	1863
148	324	1854
149	325	1845
